district,isocode,trust_relatives,trust_neighbors,intra_group_trust,inter_group_trust,trust_local_council,export_area,export_pop,exports
ABOMEY,BEN,1.1875,0.6875,0.625,0.4375,1.0,37.70738602,0.8549580569999997,854.9580688000001
ABOMEY-CALAVI,BEN,1.53125,1.4126984126984128,1.4285714285714286,1.380952380952381,1.4426229508196722,36.22414732250001,0.8275374431249992,843.1460151249992
ADJA-OUERE,BEN,2.375,1.75,1.5,0.875,1.5,25.84147644,0.635593146,760.4616393999999
ADJARRA,BEN,1.5,1.0,1.5,1.25,0.875,37.70738602,0.854958057,854.9580687999998
ADJOHOUN,BEN,1.875,1.5,1.625,1.625,2.0,37.70738602,0.854958057,854.9580687999998
AGBANGNIZOUN,BEN,2.25,1.25,1.0,0.875,1.625,37.70738602,0.854958057,854.9580687999998
AGUEGUES,BEN,1.625,1.625,2.0,2.125,1.7142857142857142,37.70738602,0.854958057,854.9580687999998
AKPRO-MISSERETE,BEN,1.75,1.75,2.1875,1.875,2.125,37.70738602,0.8549580569999997,854.9580688000001
ALLADA,BEN,1.8125,1.5,1.625,1.1875,1.8125,37.70738602,0.8549580569999997,854.9580688000001
APLAHOUE,BEN,1.8125,1.1875,0.9375,0.625,1.6666666666666667,37.70738602,0.8549580569999997,854.9580688000001
ATHIEME,BEN,1.375,1.125,0.875,0.5,1.625,37.70738602,0.854958057,854.9580687999998
AVRANKOU,BEN,2.125,2.0,1.875,2.125,1.7142857142857142,37.70738602,0.854958057,854.9580687999998
BANIKOARA,BEN,2.6666666666666665,2.5833333333333335,1.7916666666666667,1.5833333333333333,2.0,0.37589246312499996,0.1391695122083334,20.875427279249994
BANTE,BEN,2.1875,1.6875,1.625,1.5625,2.1538461538461537,16.702510913500006,0.4478906941250001,618.3700917990001
BASSILA,BEN,2.3125,1.6875,1.3125,1.3125,2.4,5.385511262625,0.179892583875,253.30800314224996
BEMBEREKE,BEN,2.8125,2.3125,1.9375,1.0,2.625,0.3838273289999999,0.14472326600000002,21.708490369999996
BOHICON,BEN,2.6,2.066666666666667,1.8,1.3333333333333333,1.75,37.70738602,0.8549580569999997,854.9580688000001
BONOU,BEN,1.5,1.25,1.5,1.375,2.2857142857142856,37.70738602,0.854958057,854.9580687999998
BOPA,BEN,1.125,0.5,0.625,0.25,1.0,37.70738602,0.854958057,854.9580687999998
BOUKOUMBE,BEN,2.9375,2.8125,2.625,2.3125,2.5454545454545454,0.1857067311875,0.010842478062499999,1.6331848674375005
COBLY,BEN,2.25,2.125,2.0,1.625,2.0,0.193390548,0.011433175000000002,1.714976192
COME,BEN,1.75,1.0,0.9375,0.3125,1.5625,37.70738602,0.8549580569999997,854.9580688000001
COPARGO,BEN,2.875,2.625,2.375,2.25,1.8571428571428572,0.193390548,0.011433175000000002,1.714976192
COTONOU,BEN,1.208,0.608,0.496,0.46774193548387094,1.1794871794871795,33.78406967192058,0.778477007579366,803.9486683376182
COVE,BEN,2.0,1.375,1.625,1.375,1.25,37.70738602,0.854958057,854.9580687999998
DANGBO,BEN,1.75,1.75,1.875,1.625,1.875,37.70738602,0.854958057,854.9580687999998
DASSA-ZOUME,BEN,2.125,1.4375,1.4375,1.4375,1.4375,19.095831992,0.5015282761875001,679.7498512437502
DJAKOTOMEY,BEN,1.5833333333333333,1.0,1.3333333333333333,0.8333333333333334,1.1578947368421053,37.70738602000002,0.854958057,854.9580688
DJIDJA,BEN,1.3125,0.875,0.5625,0.5625,1.3125,37.70738602,0.8549580569999997,854.9580688000001
DJOUGOU,BEN,2.375,1.84375,2.21875,1.6451612903225807,2.037037037037037,0.19915708696874998,0.023214547593749992,3.4821821341874992
DOGBO,BEN,2.125,1.375,1.25,0.625,0.75,37.70738602,0.854958057,854.9580687999998
GLAZOUE,BEN,2.3333333333333335,1.6,1.7333333333333334,1.5714285714285714,2.466666666666667,24.130606699812503,0.5933243941875,678.6799548101251
GOGOUNOU,BEN,2.8125,2.9375,2.5,2.1875,2.3333333333333335,0.3719250301874999,0.13639263531249998,20.458895733874996
GRAND-POPO,BEN,2.0,1.875,1.625,1.25,0.75,37.70738602,0.854958057,854.9580687999998
HOUEYOGBE,BEN,2.125,1.125,1.25,0.75,1.75,37.70738602,0.854958057,854.9580687999998
IFANGNI,BEN,2.375,1.375,1.625,1.125,1.5,37.70738602,0.854958057,854.9580687999998
KALALE,BEN,2.8333333333333335,2.625,1.75,0.9583333333333334,2.7083333333333335,0.383827329,0.14472326600000007,21.708490369999996
KANDI,BEN,2.625,2.4375,2.1875,2.0,1.7692307692307692,2.692560539125,0.1800677363125,72.42980837374998
KARIMAMA,BEN,3.0,2.75,1.875,1.5,1.8,0.145042911,0.008574881250000001,1.286232144
KEROU,BEN,2.875,2.125,2.0,2.125,2.4,0.38382732899999994,0.144723266,21.708490369999996
KETOU,BEN,2.125,1.7083333333333333,1.5,1.2608695652173914,1.4166666666666667,13.975566860000008,0.4162282350000001,665.9652100000002
KLOUEKANME,BEN,1.4375,1.0625,1.0,0.8125,1.8571428571428572,37.70738602,0.8549580569999997,854.9580688000001
KOUANDE,BEN,2.5,2.25,1.75,1.5,2.1538461538461537,0.2767066396875,0.06974758981249998,10.462138644874996
KPOMASSE,BEN,1.875,1.875,1.875,1.5,1.5,37.70738602,0.854958057,854.9580687999998
LALO,BEN,1.875,1.5,1.3125,0.5625,1.0625,37.70738602,0.8549580569999997,854.9580688000001
LOKOSSA,BEN,1.125,1.0625,0.9375,0.4375,0.8125,37.70738602,0.8549580569999997,854.9580688000001
MALANVILLE,BEN,2.6875,2.5625,2.1875,2.0625,2.142857142857143,0.87347292875,0.0260142646875,41.622825625
MATERI,BEN,2.3125,2.3125,2.125,2.125,1.75,0.193390548,0.011433174999999999,1.7149761920000004
N'DALI,BEN,2.375,2.375,1.375,0.5,2.875,0.38382732899999994,0.144723266,21.708490369999996
NATITINGOU,BEN,2.625,2.466666666666667,2.4375,1.8666666666666667,1.8333333333333333,2.5618198626249997,0.08081474150000001,57.54185875224999
NIKKI,BEN,2.8125,2.5625,1.9375,1.125,3.0,0.3838273289999999,0.14472326600000002,21.708490369999996
OUAKE,BEN,2.625,2.375,2.2857142857142856,1.7142857142857142,2.2857142857142856,7.060401078125,0.24111132714285713,333.52018341149994
OUESSE,BEN,2.25,1.4375,1.3125,1.4375,2.3125,12.252794821000002,0.3656288525000001,582.933930774
OUIDAH,BEN,0.9375,0.875,1.125,0.9375,1.7857142857142858,37.70738602,0.8549580569999997,854.9580688000001
OUINHI,BEN,1.375,1.125,1.25,1.25,1.1428571428571428,34.740908625,0.80011682925,831.3339614499998
PARAKOU,BEN,2.09375,1.34375,1.25,1.3125,2.129032258064516,8.50038261740625,0.24074402471874998,228.95157526606243
PERERE,BEN,2.875,1.875,1.75,1.625,2.142857142857143,0.38382732899999994,0.144723266,21.708490369999996
POBE,BEN,1.8125,1.2666666666666666,1.1333333333333333,0.7857142857142857,1.7333333333333334,15.458805557500007,0.4436488488750001,677.7772636750001
PORTO-NOVO,BEN,1.3,1.025,1.175,1.1,1.3243243243243243,36.171405890500026,0.8226158600250002,828.8592956099995
SAKETE,BEN,2.125,1.625,1.125,1.125,1.375,13.97556686,0.41622823500000006,665.96521
SAVALOU,BEN,2.0625,1.0,0.875,0.75,1.9285714285714286,33.018136586000004,0.7495174467499999,748.3026822240001
SAVE,BEN,2.0,1.25,1.3125,1.0625,2.125,12.252794821000002,0.3656288525000001,582.933930774
SEGBANA,BEN,2.875,2.875,2.5,2.375,2.0,0.38382732899999994,0.144723266,21.708490369999996
SEME-KPODJI,BEN,1.5,1.15625,1.3125,1.15625,1.1935483870967742,37.70738602000003,0.8549580570000003,854.9580687999996
SINENDE,BEN,2.75,2.625,1.625,1.375,3.0,0.38382732899999994,0.144723266,21.708490369999996
SO-AVA,BEN,1.5,1.75,1.625,1.375,1.5,37.70738602,0.854958057,854.9580687999998
