,KEN: Nairobi,KEN: Central,KEN: Eastern,KEN: Rift Valley,KEN: Nyanza,KEN: Western,KEN: North Eastern,"KEN: Coast"
English,0.08,0.00,0.00,0.01,0.00,0.00,0.00,"1.1
"
Swahili,0.59,0.24,0.08,0.32,0.18,0.34,0.00,"53.0
"
Other,0.01,0.00,0.04,0.02,0.03,0.09,0.00,"10.3
"
KEN: Kikuyu,0.11,0.64,0.01,0.05,0.01,0.02,0.00,"1.1
"
KEN: Luo,0.06,0.00,0.00,0.01,0.46,0.02,0.00,"2.1
"
KEN: Luhya,0.03,0.01,0.00,0.07,0.02,0.52,0.00,"1.3
"
KEN: Kamba,0.06,0.09,0.45,0.00,0.00,0.00,0.00,"9.2
"
KEN: Kalenjin,0.00,0.00,0.00,0.33,0.00,0.01,0.00,"0
"
KEN: Kisii,0.01,0.00,0.00,0.01,0.30,0.00,0.01,"0"
KEN: Meru/Embu,0.01,0.01,0.43,0.00,0.00,0.00,0.02,"0"
KEN: Masai/Samburu,0.00,0.00,0.00,0.09,0.00,0.01,0.00,"0"
KEN: MijiKenda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"21.0
"
KEN: Taita,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0.5
"
KEN: Somali,0.04,0.00,0.00,0.00,0.00,0.00,0.98,"0.4
"
KEN: Pokot,0.00,0.00,0.00,0.01,0.00,0.00,0.00,"0"
KEN: Turkana,0.00,0.00,0.00,0.08,0.00,0.00,0.00,"0"
,99.90%,100.10%,100.00%,100.10%,100.00%,100.10%,100.00%,0.00%
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
