isocode,district,trust_relatives,trust_neighbors,intra_group_trust,inter_group_trust,trust_local_council,export_area,export_pop,exports
BEN,KPOMASSE,3,3,3,3,3,37.70738602,0.854958057,854.9580688
BEN,KPOMASSE,3,3,3,3,3,37.70738602,0.854958057,854.9580688
BEN,OUIDAH,0,0,0,0,,37.70738602,0.854958057,854.9580688
BEN,OUIDAH,0,0,1,1,,37.70738602,0.854958057,854.9580688
BEN,OUIDAH,1,1,1,1,1,37.70738602,0.854958057,854.9580688
BEN,OUIDAH,1,1,1,1,2,37.70738602,0.854958057,854.9580688
BEN,TORI-BOSSITO,1,1,1,1,3,37.70738602,0.854958057,854.9580688
BEN,TORI-BOSSITO,3,3,3,3,3,37.70738602,0.854958057,854.9580688
BEN,ALLADA,3,1,1,1,3,37.70738602,0.854958057,854.9580688
BEN,ALLADA,1,1,1,1,3,37.70738602,0.854958057,854.9580688
BEN,ALLADA,3,3,3,3,3,37.70738602,0.854958057,854.9580688
BEN,ALLADA,3,3,3,3,3,37.70738602,0.854958057,854.9580688
BEN,TOFFO,3,3,3,3,3,37.70738602,0.854958057,854.9580688
BEN,TOFFO,3,0,0,0,3,37.70738602,0.854958057,854.9580688
BEN,TOFFO,3,3,3,3,3,37.70738602,0.854958057,854.9580688
BEN,TOFFO,3,3,3,3,3,37.70738602,0.854958057,854.9580688
BEN,SO-AVA,3,3,3,3,3,37.70738602,0.854958057,854.9580688
BEN,SO-AVA,3,3,3,3,3,37.70738602,0.854958057,854.9580688
BEN,ABOMEY-CALAVI,3,3,3,3,3,37.70738602,0.854958057,854.9580688
BEN,ABOMEY-CALAVI,0,0,0,0,2,37.70738602,0.854958057,854.9580688
BEN,BONOU,3,3,3,3,,37.70738602,0.854958057,854.9580688
BEN,BONOU,3,3,3,3,3,37.70738602,0.854958057,854.9580688
BEN,ADJOHOUN,3,3,3,3,3,37.70738602,0.854958057,854.9580688
BEN,ADJOHOUN,3,3,3,3,3,37.70738602,0.854958057,854.9580688
BEN,DANGBO,3,3,3,3,3,37.70738602,0.854958057,854.9580688
BEN,DANGBO,3,3,3,3,3,37.70738602,0.854958057,854.9580688
BEN,AVRANKOU,3,3,3,3,2,37.70738602,0.854958057,854.9580688
BEN,AVRANKOU,3,3,3,3,,37.70738602,0.854958057,854.9580688
BEN,ADJARRA,3,3,3,3,1,37.70738602,0.854958057,854.9580688
BEN,ADJARRA,1,1,1,1,0,37.70738602,0.854958057,854.9580688
BEN,AKPRO-MISSERETE,3,3,3,3,3,37.70738602,0.854958057,854.9580688
BEN,AKPRO-MISSERETE,3,3,3,3,3,37.70738602,0.854958057,854.9580688
BEN,AKPRO-MISSERETE,3,3,3,3,3,37.70738602,0.854958057,854.9580688
BEN,AKPRO-MISSERETE,3,3,3,3,3,37.70738602,0.854958057,854.9580688
BEN,PORTO-NOVO,2,2,2,2,1,37.70738602,0.854958057,854.9580688
BEN,PORTO-NOVO,0,0,0,0,0,37.70738602,0.854958057,854.9580688
BEN,PORTO-NOVO,0,0,0,0,0,37.70738602,0.854958057,854.9580688
BEN,PORTO-NOVO,1,1,1,1,0,37.70738602,0.854958057,854.9580688
BEN,PORTO-NOVO,1,1,1,1,1,37.70738602,0.854958057,854.9580688
BEN,PORTO-NOVO,3,3,3,3,,37.70738602,0.854958057,854.9580688
BEN,PORTO-NOVO,3,3,3,3,,37.70738602,0.854958057,854.9580688
BEN,PORTO-NOVO,0,0,0,0,0,37.70738602,0.854958057,854.9580688
BEN,PORTO-NOVO,0,0,0,0,1,37.70738602,0.854958057,854.9580688
BEN,PORTO-NOVO,3,3,3,3,3,37.70738602,0.854958057,854.9580688
BEN,SEME-KPODJI,0,0,0,0,1,37.70738602,0.854958057,854.9580688
BEN,SEME-KPODJI,1,1,1,1,3,37.70738602,0.854958057,854.9580688
BEN,SEME-KPODJI,3,1,1,1,0,37.70738602,0.854958057,854.9580688
BEN,SEME-KPODJI,3,0,0,0,3,37.70738602,0.854958057,854.9580688
