,district,isocode,trust,exports
0,ABOMEY,BEN,3.9375,854.9580688000002
1,ABOMEY-CALAVI,BEN,7.196095173041895,843.1460151249993
2,ADJA-OUERE,BEN,8.0,760.4616393999999
3,ADJARRA,BEN,6.125,854.9580687999998
4,ADJOHOUN,BEN,8.625,854.9580687999998
5,AGBANGNIZOUN,BEN,7.0,854.9580687999998
6,AGUEGUES,BEN,9.089285714285714,854.9580687999998
7,AKPRO-MISSERETE,BEN,9.6875,854.9580688000002
8,ALLADA,BEN,7.9375,854.9580688000002
9,APLAHOUE,BEN,6.229166666666667,854.9580688000002
10,ATHIEME,BEN,5.5,854.9580687999998
11,AVRANKOU,BEN,9.839285714285714,854.9580687999998
12,BANIKOARA,BEN,10.625,20.875427279249998
13,BANTE,BEN,9.216346153846153,618.3700917990001
14,BASSILA,BEN,9.025,253.30800314225
15,BEMBEREKE,BEN,10.6875,21.70849037
16,BOHICON,BEN,9.55,854.9580688000002
17,BONOU,BEN,7.910714285714286,854.9580687999998
18,BOPA,BEN,3.5,854.9580687999998
19,BOUKOUMBE,BEN,13.232954545454545,1.6331848674375005
20,COBLY,BEN,10.0,1.714976192
21,COME,BEN,5.5625,854.9580688000002
22,COPARGO,BEN,11.982142857142858,1.714976192
23,COTONOU,BEN,3.95922911497105,803.9486683376183
24,COVE,BEN,7.625,854.9580687999998
25,DANGBO,BEN,8.875,854.9580687999998
26,DASSA-ZOUME,BEN,7.875,679.7498512437502
27,DJAKOTOMEY,BEN,5.907894736842104,854.9580687999999
28,DJIDJA,BEN,4.625,854.9580688000002
29,DJOUGOU,BEN,10.119698327359616,3.4821821341874992
30,DOGBO,BEN,6.125,854.9580687999998
31,GLAZOUE,BEN,9.704761904761904,678.6799548101251
32,GOGOUNOU,BEN,12.770833333333332,20.458895733875
33,GRAND-POPO,BEN,7.5,854.9580687999998
34,HOUEYOGBE,BEN,7.0,854.9580687999998
35,IFANGNI,BEN,8.0,854.9580687999998
36,KALALE,BEN,10.875,21.70849037
37,KANDI,BEN,11.01923076923077,72.42980837374998
38,KARIMAMA,BEN,10.925,1.286232144
39,KEROU,BEN,11.525,21.70849037
40,KETOU,BEN,8.01086956521739,665.9652100000002
41,KLOUEKANME,BEN,6.169642857142857,854.9580688000002
42,KOUANDE,BEN,10.153846153846153,10.462138644874996
43,KPOMASSE,BEN,8.625,854.9580687999998
44,LALO,BEN,6.3125,854.9580688000002
45,LOKOSSA,BEN,4.375,854.9580688000002
46,MALANVILLE,BEN,11.642857142857142,41.622825625
47,MATERI,BEN,10.625,1.7149761920000004
48,N'DALI,BEN,9.5,21.70849037
49,NATITINGOU,BEN,11.229166666666668,57.54185875224999
50,NIKKI,BEN,11.4375,21.70849037
51,OUAKE,BEN,11.285714285714285,333.52018341149994
52,OUESSE,BEN,8.75,582.933930774
53,OUIDAH,BEN,5.660714285714286,854.9580688000002
54,OUINHI,BEN,6.142857142857142,831.3339614499997
55,PARAKOU,BEN,8.129032258064516,228.95157526606243
56,PERERE,BEN,10.267857142857142,21.70849037
57,POBE,BEN,6.731547619047619,677.7772636750002
58,PORTO-NOVO,BEN,5.924324324324324,828.8592956099995
59,SAKETE,BEN,7.375,665.96521
60,SAVALOU,BEN,6.616071428571429,748.3026822240001
61,SAVE,BEN,7.75,582.933930774
62,SEGBANA,BEN,12.625,21.70849037
63,SEME-KPODJI,BEN,6.318548387096774,854.9580687999998
64,SINENDE,BEN,11.375,21.70849037
65,SO-AVA,BEN,7.75,854.9580687999998
66,TANGUIETA,BEN,11.1875,96.129565045
67,TCHAOUROU,BEN,8.9375,257.05678705062496
68,TOFFO,BEN,6.9375,854.9580688000002
69,TORI-BOSSITO,BEN,6.5,854.9580687999998
70,TOVIKLIN,BEN,4.75,854.9580687999998
71,ZA-KPOTA,BEN,4.375,854.9580687999998
72,ZANGNANADO,BEN,6.5,854.9580687999998
73,ZE,BEN,5.875,854.9580687999998
74,ZOGBODOMEY,BEN,5.9375,854.9580688000002
75,CENTRAL,BWA,7.591694907848873,0.1648792594423074
76,CHOBE,BWA,6.416666666666666,0.0
77,FRANCISTOWN,BWA,7.912845138055222,0.3036865297254903
78,GABORONE,BWA,6.73941701092748,0.07771435102479342
79,GHANZI,BWA,7.179512516469039,0.02304763841666667
80,JWANENG,BWA,6.285714285714285,0.0
81,KGALAGADI,BWA,6.52116935483871,0.0172857288125
82,KGATLENG,BWA,8.258942364824717,0.01005715130909091
83,KWENENG,BWA,6.967424141231996,0.030730184555555564
84,LOBATSE,BWA,5.842105263157895,0.05822561284210528
85,NGAMILAND,BWA,8.490802348336596,0.030309223123287675
86,NORTH EAST,BWA,7.567916438606094,0.4609527683333336
87,SELIBE PHIKWE,BWA,7.990777338603427,0.09619883860869566
88,SOUTH EAST,BWA,8.825482625482625,0.014949819513513513
89,SOUTHERN,BWA,6.869650154132913,0.004727720700854701
90,A.M.A,GHA,6.754202936103711,258.6645180789539
91,ABURA-ASEBU-KWAMAN,GHA,8.795238095238096,388.6097106999998
92,ADANSI EAST,GHA,9.125,388.6097107
93,ADANSI WEST,GHA,9.0625,243.5904714060625
94,AFRAM PLAINS,GHA,11.25,601.0806885000002
95,AGONA,GHA,8.625,340.324041432
96,AHAFO ANO NORTH,GHA,9.375,388.6097107
97,AHAFO ANO SOUTH,GHA,8.875,388.6097107
98,AHANTA WEST,GHA,7.571428571428571,388.6097107
99,AJUMAKO ENYAN ESIAM,GHA,11.25,388.6097107
100,AKATSI,GHA,9.178571428571429,601.0806885000002
101,AKWAPIM NORTH,GHA,9.5625,433.2800942195
102,AKWAPIM SOUTH,GHA,11.160714285714285,574.521816275
103,AMANSIE EAST,GHA,8.6875,388.6097106999998
104,AMANSIE WEST,GHA,10.75,388.6097107
105,AOWIN SUAMAN,GHA,8.8125,267.75026524525003
106,ASANTE AKIM NORTH,GHA,8.579166666666666,364.32160378124985
107,ASANTE AKIM SOUTH,GHA,9.571428571428571,146.30973065150005
108,ASIKUMA ODOBEN BRAKW,GHA,8.125,388.6097107
109,ASSIN,GHA,9.25,388.6097107
110,ASUNAFO SOUTH,GHA,8.5,222.02590585299998
111,ASUOGYAMAN,GHA,9.75,415.168582925
112,ASUTIFI,GHA,11.0,318.597244389
113,ATEBUBU,GHA,11.5,366.88291365699996
114,ATWIMA,GHA,6.535714285714286,292.038372164
115,AWUTU EFUTU SENYA,GHA,8.041666666666666,171.32419899400006
116,BAWKU EAST,GHA,11.383928571428573,2.2702793926875
117,BEREKUM,GHA,9.75,292.038372164
118,BIBIANI ANWIASO BEKW,GHA,7.035714285714286,388.6097107
