,Nairobi,Central,Eastern,Rift Valley,Nyanza,Western,North Eastern,"Coast
"
Other,0.032,0.000,0.038,0.016,0.030,0.124,0.000,".118
"
Kikuyu,0.297,0.758,0.006,0.112,0.016,0.007,0.000,".087
"
Luo,0.240,0.025,0.003,0.021,0.535,0.032,0.000,0.054
Luhya,0.179,0.039,0.000,0.189,0.047,0.818,0.000,".023
"
Kamba,0.123,0.120,0.471,0.019,0.000,0.000,0.000,".174
"
Kalenjin,0.004,0.000,0.005,0.416,0.000,0.012,0.000,"0.000
"
Kisii,0.030,0.016,0.003,0.027,0.368,0.006,0.007,".013
"
Meru/Embu,0.030,0.037,0.467,0.007,0.000,0.000,0.017,"0.000
"
Masai/Samburu,0.006,0.000,0.000,0.093,0.003,0.000,0.000,"0.000
"
MijiKenda,0.000,0.000,0.000,0.000,0.000,0.000,0.000,".482
"
Taita,0.000,0.000,0.000,0.000,0.000,0.000,0.000,".045
"
Somali,0.059,0.000,0.000,0.000,0.000,0.000,0.967,".004
"
Pokot,0.000,0.004,0.000,0.017,0.000,0.000,0.010,"0.000
"
Turkana,0.000,0.000,0.008,0.083,0.000,0.000,0.000,"0.000
"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
